Date,Avg_temp,Humidity,Atmospheric_pressure,Wind_speed,Cloudiness
2000-01-01,25.8,87.66666666666667,1003.6999999999999,1.3333333333333333,7.333333333333333
2000-01-02,26.0,86.33333333333333,1004.0666666666666,0.3333333333333333,8.333333333333334
2000-01-03,25.866666666666664,85.33333333333333,1003.7333333333332,0.0,8.666666666666666
2000-01-04,26.8,81.0,1003.5,0.0,6.666666666666667
2000-01-05,25.066666666666666,87.0,1003.8666666666667,0.0,8.333333333333334
2000-01-06,27.066666666666666,80.0,1004.3333333333334,0.6666666666666666,7.0
2000-01-07,27.2,82.66666666666667,1004.5333333333333,0.3333333333333333,8.0
2000-01-08,27.866666666666664,74.66666666666667,1004.1,0.6666666666666666,3.3333333333333335
2000-01-09,26.2,83.66666666666667,1004.0,0.3333333333333333,5.333333333333333
2000-01-10,26.933333333333334,84.33333333333333,1004.8666666666667,1.3333333333333333,7.333333333333333
2000-01-11,28.333333333333332,79.0,1003.9,1.0,4.333333333333333
2000-01-12,26.8,81.33333333333333,1004.0666666666666,0.6666666666666666,8.0
2000-01-13,26.133333333333336,85.66666666666667,1004.8666666666667,0.6666666666666666,8.0
2000-01-14,26.8,82.0,1005.1,1.3333333333333333,8.666666666666666
2000-01-15,26.866666666666664,79.0,1004.3000000000001,1.0,8.0
2000-01-16,26.266666666666666,86.0,1004.6666666666666,0.0,9.0
2000-01-17,26.8,82.0,1005.5,1.0,6.0
2000-01-18,25.46666666666667,85.66666666666667,1007.5666666666666,1.3333333333333333,8.666666666666666
2000-01-19,27.133333333333336,80.33333333333333,1007.1999999999999,0.0,7.333333333333333
2000-01-20,25.53333333333333,88.0,1007.1999999999999,0.6666666666666666,6.0
2000-01-21,27.53333333333333,81.33333333333333,1006.5333333333333,0.6666666666666666,5.333333333333333
2000-01-22,26.266666666666666,83.0,1006.0333333333333,0.0,8.333333333333334
2000-01-23,27.0,85.0,1005.6666666666666,1.6666666666666667,7.333333333333333
2000-01-24,26.866666666666664,83.66666666666667,1005.4333333333334,1.3333333333333333,6.0
2000-01-25,25.733333333333334,87.33333333333333,1006.4,0.0,9.0
2000-01-26,28.133333333333336,82.0,1006.0666666666666,1.0,5.0
2000-01-27,28.666666666666668,73.0,1006.3333333333334,0.6666666666666666,5.666666666666667
2000-01-28,28.53333333333333,78.33333333333333,1004.9333333333334,0.6666666666666666,4.333333333333333
2000-01-29,26.266666666666666,87.0,1005.3666666666667,0.3333333333333333,8.0
2000-01-30,24.46666666666667,92.0,1007.0333333333333,0.3333333333333333,6.0
2000-01-31,26.53333333333333,85.33333333333333,1007.9,0.6666666666666666,8.666666666666666
2000-02-01,25.666666666666668,90.66666666666667,1009.0,0.3333333333333333,6.666666666666667
2000-02-02,26.733333333333334,89.33333333333333,1007.1999999999999,0.3333333333333333,6.0
2000-02-03,27.53333333333333,85.33333333333333,1005.9,0.6666666666666666,8.0
2000-02-04,24.666666666666668,93.33333333333333,1007.3666666666667,0.3333333333333333,8.666666666666666
2000-02-05,24.333333333333332,93.33333333333333,1009.5333333333333,0.0,10.0
2000-02-06,26.599999999999998,87.0,1006.8666666666667,0.0,10.0
2000-02-07,28.0,79.33333333333333,1008.2333333333332,1.0,7.666666666666667
2000-02-08,28.2,80.33333333333333,1007.6666666666666,0.0,8.0
2000-02-09,27.866666666666664,79.33333333333333,1006.8333333333334,0.6666666666666666,9.0
2000-02-10,28.53333333333333,74.33333333333333,1006.3666666666668,0.6666666666666666,6.666666666666667
2000-02-11,28.333333333333332,74.66666666666667,1006.3333333333334,0.6666666666666666,6.666666666666667
2000-02-12,25.066666666666666,88.33333333333333,1006.6333333333333,0.6666666666666666,8.0
2000-02-13,25.400000000000002,81.66666666666667,1007.1999999999999,1.6666666666666667,9.333333333333334
2000-02-14,26.400000000000002,79.66666666666667,1008.0666666666666,1.6666666666666667,7.0
2000-02-15,27.46666666666667,75.66666666666667,1007.6333333333333,0.6666666666666666,8.0
2000-02-16,25.53333333333333,85.66666666666667,1007.3333333333334,0.3333333333333333,8.0
2000-02-17,25.599999999999998,81.66666666666667,1007.9,0.0,7.333333333333333
2000-02-18,26.46666666666667,78.33333333333333,1007.3333333333334,0.6666666666666666,7.666666666666667
2000-02-19,25.266666666666666,88.0,1007.0,1.0,7.333333333333333
2000-02-20,27.8,76.33333333333333,1007.2666666666668,1.0,6.0
2000-02-21,25.133333333333336,88.66666666666667,1007.5666666666666,0.0,8.666666666666666
2000-02-22,25.266666666666666,87.0,1007.4333333333334,0.6666666666666666,8.666666666666666
2000-02-23,25.933333333333334,86.33333333333333,1006.7333333333332,0.3333333333333333,6.333333333333333
2000-02-24,26.2,84.66666666666667,1005.4666666666667,0.6666666666666666,6.666666666666667
2000-02-25,26.866666666666664,83.0,1005.2333333333332,0.3333333333333333,7.333333333333333
2000-02-26,25.53333333333333,87.66666666666667,1006.4666666666666,0.6666666666666666,6.666666666666667
2000-02-27,26.400000000000002,84.33333333333333,1005.9666666666667,0.0,7.333333333333333
2000-02-28,28.400000000000002,78.0,1005.6333333333333,0.6666666666666666,4.0
2000-03-01,28.133333333333336,80.66666666666667,1007.1666666666666,0.6666666666666666,8.333333333333334
2000-03-02,27.400000000000002,79.33333333333333,1006.5666666666666,0.6666666666666666,8.0
2000-03-03,25.066666666666666,91.66666666666667,1006.7333333333332,0.3333333333333333,8.666666666666666
2000-03-04,24.066666666666666,92.33333333333333,1007.2333333333332,0.0,8.666666666666666
2000-03-05,26.333333333333332,86.0,1007.0,0.0,9.333333333333334
